Sub-Borough Area,Property Crime Rate,Violent Crime Rate,Low Income Population,Medium-Low Income Population,Medium Income Population,Medium-High Income Population,High Income Population,Very High Income Population,Poverty Rate,Hispanic Population,Asian Population,Black Population,White Population,Population Density,Population Aged 65+,NYS Born People,Foreign Born People,Disabled People,Unemployment Rate,Car-Free Commuters,Families with Children,People O25 with Bachelor,People O25 without Diploma
williamsburg/greenpoint,10.8,3.5,11.6,12.2,8.4,16.8,34.5,16.5,18.8,24.8,6.1,7.4,56.7,38.69,0.09,43.11,23.65,6.57,10.95,74.98,19.27,61.91,10.75
brooklyn heights/fort greene,12.7,5.9,10.1,7.8,7.5,13.1,35.4,26.0,12.9,12.1,10.2,15.8,55.5,47.27,0.13,42.78,20.67,8.01,8.59,77.62,17.77,71.56,6.89
bedford stuyvesant,7.9,6.3,16.6,14.6,12.1,19.1,29.4,8.2,24.8,17.8,4.2,41.2,29.3,59.67,0.09,59.43,17.36,8.9,10.66,73.02,26.27,45.25,13.2
bushwick,9.7,7.0,16.7,13.2,10.4,21.9,33.0,4.8,19.9,42.6,6.4,20.1,26.1,45.23,0.11,44.98,29.78,9.22,10.03,77.05,20.68,38.8,20.63
east new york/starrett city,9.8,9.0,18.8,18.6,14.9,21.8,22.5,3.4,24.6,32.8,7.2,49.8,2.4,29.49,0.15,55.77,36.14,7.26,12.8,61.81,38.41,19.19,19.17
park slope/carroll gardens,7.8,3.1,7.7,6.0,5.8,11.9,38.3,30.3,9.3,14.0,8.8,7.0,62.5,29.38,0.11,46.74,17.49,5.32,8.79,81.6,28.31,78.23,4.92
sunset park,6.6,3.3,11.2,15.1,13.5,21.7,29.6,8.9,20.7,40.7,24.6,2.4,28.3,33.62,0.11,45.32,40.72,7.09,12.06,71.47,39.35,33.85,32.06
north crown heights/prospect heights,6.9,6.2,15.4,12.3,12.2,16.6,31.7,11.8,20.2,13.5,4.0,44.5,30.7,62.4,0.11,44.97,26.41,9.44,10.48,75.77,20.59,51.06,10.9
south crown heights,5.7,4.8,14.8,13.6,13.0,22.0,30.3,6.3,16.6,13.0,3.3,46.9,28.6,64.38,0.18,43.16,36.46,7.52,13.16,71.3,20.09,40.2,12.59
bay ridge,4.7,1.6,10.1,13.3,11.7,20.8,33.7,10.4,12.5,20.4,21.9,1.0,53.8,29.08,0.19,53.3,36.01,6.81,11.45,62.06,24.28,46.41,16.66
bensonhurst,5.2,1.9,14.6,15.2,15.8,20.4,28.9,5.1,19.5,15.9,41.3,1.6,38.9,55.87,0.16,39.89,55.07,5.76,11.74,64.66,33.94,32.79,25.44
borough park,3.9,1.5,14.1,18.7,15.3,20.4,25.2,6.4,23.8,13.2,15.7,3.1,58.8,54.77,0.11,68.43,23.79,5.73,13.22,57.48,43.94,33.34,18.54
coney island,6.3,5.1,25.4,18.6,14.4,16.6,20.6,4.4,24.9,19.4,13.1,14.8,49.1,35.02,0.28,38.19,54.51,12.83,10.59,64.06,22.2,39.22,16.45
flatbush,4.5,3.1,13.3,14.5,12.4,21.9,30.2,7.7,21.3,15.8,13.2,29.6,35.0,59.51,0.17,47.51,38.79,7.4,8.38,62.43,27.69,43.06,12.41
sheepshead bay/gravesend,6.1,2.5,15.0,14.1,13.4,18.6,30.2,8.7,19.1,9.6,20.7,6.7,57.1,36.79,0.21,45.21,49.05,7.24,10.5,55.02,25.43,42.97,15.82
brownsville/ocean hill,6.2,9.7,27.8,19.9,13.7,18.8,18.0,1.9,39.1,23.1,2.0,61.8,7.7,47.85,0.15,52.77,35.88,14.39,18.02,74.55,25.38,18.04,15.09
east flatbush,6.3,5.9,13.7,15.0,14.5,22.9,29.3,4.6,17.8,8.9,2.0,75.7,4.2,45.18,0.18,42.27,50.58,5.32,12.72,65.02,27.91,26.37,15.13
flatlands/canarsie,6.3,3.0,9.7,14.1,12.1,19.7,36.0,8.4,11.5,9.8,6.6,55.7,21.9,16.01,0.19,54.18,38.88,8.19,10.16,47.28,31.3,32.99,11.1
greenwich village/financial district,22.8,5.05,6.1,5.0,6.2,11.9,34.7,36.1,8.5,9.2,16.1,3.7,65.8,50.75,0.18,38.54,22.7,3.15,5.41,88.6,12.93,81.4,2.38
lower east side/chinatown,14.1,5.3,24.4,15.2,10.3,15.7,24.4,10.0,26.0,26.0,26.9,7.4,33.8,80.85,0.19,42.58,30.3,8.89,10.09,88.56,12.5,48.05,21.1
chelsea/clinton/midtown,44.85,10.95,10.7,10.5,9.0,13.0,33.0,23.8,15.4,20.9,16.2,5.6,51.5,49.29,0.15,38.27,27.54,5.09,9.47,84.4,7.86,73.19,4.61
stuyvesant town/turtle bay,8.1,2.2,7.5,8.4,5.3,11.8,38.1,28.9,9.0,7.9,19.2,4.5,62.8,89.06,0.19,42.89,26.25,5.69,4.95,83.88,10.86,82.05,3.05
upper west side,7.6,2.4,9.3,7.2,6.2,13.3,31.3,32.7,10.5,15.9,10.2,6.8,61.7,66.77,0.25,46.62,23.47,6.8,11.53,85.57,17.84,74.35,4.66
upper east side,9.0,1.8,5.9,7.7,6.3,15.3,34.2,30.7,7.1,8.9,11.5,3.6,72.0,104.34,0.21,46.62,21.9,3.25,6.19,79.71,18.16,80.11,1.71
morningside heights/hamilton heights,9.9,6.2,18.6,15.0,12.2,16.4,26.4,11.5,24.2,40.3,10.7,19.7,25.8,70.26,0.15,39.4,30.42,7.92,14.77,88.98,18.09,52.25,13.2
central harlem,10.0,8.5,21.5,14.8,13.3,19.1,23.5,7.8,28.2,28.2,4.5,45.8,14.4,90.08,0.14,52.35,23.41,11.77,15.9,85.75,23.38,45.01,15.98
east harlem,10.8,10.3,31.3,18.2,11.3,16.0,17.4,5.7,38.2,45.6,8.9,29.9,10.8,53.23,0.15,55.9,24.76,16.13,12.19,81.09,25.59,36.18,21.39
washington heights/inwood,8.7,5.6,16.8,15.7,14.3,21.6,26.8,4.8,20.1,66.5,3.0,6.8,20.3,73.97,0.18,39.26,45.49,13.76,18.57,80.01,23.21,37.42,23.84
astoria,7.7,3.9,10.7,12.6,10.4,21.0,37.1,8.1,16.1,25.1,17.4,9.4,42.5,30.45,0.14,42.74,37.13,8.18,13.06,71.04,14.89,52.48,10.71
sunnyside/woodside,9.3,3.7,6.4,14.1,12.4,22.2,35.2,9.6,11.5,33.4,31.0,3.0,28.4,24.96,0.13,37.87,50.51,2.64,8.33,70.95,20.84,46.61,13.03
jackson heights,7.2,4.6,9.8,16.5,13.7,24.2,30.7,5.2,15.6,64.4,17.6,5.8,9.1,36.74,0.15,33.91,59.16,8.25,11.57,66.6,27.27,27.54,26.27
elmhurst/corona,8.2,6.5,10.6,18.4,16.3,26.2,24.8,3.8,17.9,49.6,33.8,8.1,6.7,38.07,0.15,31.55,63.77,4.85,9.87,78.66,31.07,22.22,29.52
middle village/ridgewood,7.1,2.9,8.4,11.9,12.6,23.1,36.6,7.3,11.3,37.9,9.9,1.9,46.5,22.94,0.15,50.53,39.76,5.46,11.41,51.58,25.31,30.91,16.88
rego park/forest hills,6.0,1.4,9.4,10.8,9.7,18.7,39.8,11.6,10.6,23.9,26.4,2.5,40.6,44.98,0.22,44.89,45.59,7.68,8.88,59.04,20.62,55.76,9.17
flushing/whitestone,8.9,2.9,11.2,17.6,13.9,20.9,30.3,6.0,15.9,17.3,55.0,1.6,22.4,20.62,0.24,38.87,56.73,6.06,12.77,41.57,19.39,33.94,21.03
hillcrest/fresh meadows,7.4,2.2,9.8,14.7,12.0,19.8,37.2,6.5,11.8,20.8,35.8,11.6,26.7,21.97,0.18,46.66,47.45,6.37,12.4,39.87,27.22,43.14,15.26
ozone park/woodhaven,5.0,3.6,7.8,13.2,12.5,23.9,34.6,8.0,11.5,43.2,22.6,5.0,17.3,30.32,0.15,42.73,51.03,6.72,11.13,54.95,30.91,33.1,22.78
south ozone park/howard beach,7.6,4.5,9.3,11.5,11.4,19.7,39.7,8.3,9.1,23.8,22.3,13.9,19.5,25.4,0.16,50.33,43.2,7.08,15.3,36.65,34.09,23.59,22.4
bayside/little neck,9.0,1.3,7.1,9.7,11.2,21.0,40.8,10.1,8.4,12.0,50.5,2.6,31.9,13.02,0.22,53.9,40.92,6.3,8.56,25.73,25.36,47.06,14.62
jamaica,6.5,6.3,11.4,13.6,13.4,24.5,31.4,5.6,13.4,15.8,15.1,55.2,2.3,29.09,0.15,48.46,45.3,8.31,14.83,48.56,36.64,22.99,18.09
queens village,6.2,3.0,6.4,9.4,10.8,19.6,44.4,9.4,8.7,14.9,20.2,47.8,10.3,10.48,0.2,51.31,42.25,6.97,10.17,31.36,27.87,33.1,12.16
rockaways,4.6,4.2,17.5,14.8,12.9,17.7,29.2,7.9,17.6,22.5,5.1,32.6,35.2,11.94,0.18,61.35,27.99,11.23,14.21,39.23,31.76,31.59,17.12
north shore,5.2,4.7,11.0,11.4,10.8,21.1,37.2,8.5,15.0,30.8,10.9,21.0,34.8,13.56,0.14,65.6,25.54,8.05,7.91,30.62,33.93,35.4,12.59
mid-island,5.2,1.7,7.4,11.0,11.6,20.6,39.6,9.8,9.6,12.6,19.1,3.2,61.0,5.92,0.21,60.53,34.43,7.1,8.0,24.66,32.42,37.3,12.32
south shore,3.9,1.1,7.3,9.5,8.4,20.2,42.5,12.1,7.8,10.8,9.9,0.5,74.9,8.29,0.17,76.83,18.34,7.79,6.78,21.64,30.95,39.49,5.21
